# EKSTRA FİYATLAR
# Format: ÜRÜN_ID | EKSTRA_TİPİ | EKSTRA_ID | EKSTRA_ADI | FİYAT
# EKSTRA_TİPİ: option, mainProduct, sideProduct, menuOption, potatoOption, drinkOption
# Fiyatı değiştirmek için sadece sayıyı değiştirin

p1 | option | o1 | Small (1 Kişilik) | 0
cd9 | option | cd9_o4 | Ayvalık Tost Ekmeği | 0
cd9 | menuOption | menu1 | Menü (Cips + Ayran) | 60
cd9 | menuOption | kola1 | Kutu Kola Farkı | 20
cd2 | option | cd2_o1 | Ayran Menü (Cips + Ayran) | 60
cd2 | option | cd2_o2 | Kola Menü (Cips + Kola) | 80
cd3 | option | cd3_o1 | Ayran Menü (Cips + Ayran) | 60
cd3 | option | cd3_o2 | Kola Menü (Cips + Kola) | 80
cd4 | option | cd4_o1 | Ayran Menü (Cips + Ayran) | 60
cd4 | option | cd4_o2 | Kola Menü (Cips + Kola) | 80
cd5 | option | cd5_o1 | Ayran Menü (Cips + Ayran) | 60
cd5 | option | cd5_o2 | Kola Menü (Cips + Kola) | 80
cd6 | option | cd6_o1 | Ayran Menü (Cips + Ayran) | 60
cd6 | option | cd6_o2 | Kola Menü (Cips + Kola) | 80
bd1 | option | bd1_o1 | Dürüm | 0
bd1 | option | bd1_o2 | Gobit Ekmeği | 0
bd1 | option | bd1_o3 | Taş Fırın Ekmeği | 0
bd1 | option | bd1_o4 | Ayvalık Tost Ekmeği | 0
bd1 | menuOption | bd1_menu1 | Cips + Ayran Menü | 60
bd1 | menuOption | bd1_menu2 | Cips + Kola Menü | 80
bd1 | menuOption | bd1_patates1 | Patates İlave | 10
bd1 | menuOption | bd1_patates2 | Menü Patatesi | 30
bd2 | option | bd2_o1 | Dürüm | 0
bd2 | option | bd2_o2 | Gobit Ekmeği | 0
bd2 | option | bd2_o3 | Taş Fırın Ekmeği | 0
bd2 | option | bd2_o4 | Ayvalık Tost Ekmeği | 0
bd2 | menuOption | bd2_menu1 | Cips + Ayran Menü | 60
bd2 | menuOption | bd2_menu2 | Cips + Kola Menü | 80
bd2 | menuOption | bd2_patates1 | Patates İlave | 10
bd2 | menuOption | bd2_patates2 | Menü Patatesi | 30
bd3 | option | bd3_o1 | Tek | 0
bd3 | option | bd3_o2 | Menü (Cips + Ayran) | 60
bd3 | option | bd3_o3 | Menü (Cips + Kola) | 80
bd3 | potatoOption | bd3_patates1 | Patates (+10₺) | 10
bd4 | option | bd4_o1 | Dürüm | 0
bd4 | option | bd4_o2 | Gobit Ekmeği | 0
bd4 | option | bd4_o3 | Taş Fırın Ekmeği | 0
bd4 | option | bd4_o4 | Ayvalık Tost Ekmeği | 0
bd4 | menuOption | bd4_menu1 | Cips + Ayran Menü | 60
bd4 | menuOption | bd4_menu2 | Cips + Kola Menü | 80
bd4 | menuOption | bd4_patates1 | Patates İlave | 10
bd6 | option | bd6_o1 | Tek | 0
bd6 | option | bd6_o2 | Menü (Cips + Ayran) | 60
bd6 | option | bd6_o3 | Menü (Cips + Kola) | 80
bd6 | potatoOption | bd6_patates1 | Patates (+10₺) | 10
bd7 | option | bd7_o1 | Tek | 0
bd7 | option | bd7_o2 | Menü (Cips + Ayran) | 60
bd7 | option | bd7_o3 | Menü (Cips + Kola) | 80
bd7 | potatoOption | bd7_patates1 | Patates (+10₺) | 10
bd8 | option | bd8_o1 | Tek | 0
bd8 | option | bd8_o2 | Menü (Cips + Ayran) | 60
bd8 | option | bd8_o3 | Menü (Cips + Kola) | 80
bd8 | potatoOption | bd8_patates1 | Patates (+10₺) | 10
bd9 | option | bd9_o1 | Dürüm | 0
bd9 | option | bd9_o2 | Gobit Ekmeği | 0
bd9 | option | bd9_o3 | Taş Fırın Ekmeği | 0
bd9 | option | bd9_o4 | Ayvalık Tost Ekmeği | 0
bd9 | menuOption | bd9_menu1 | Cips + Ayran Menü | 60
bd9 | menuOption | bd9_menu2 | Cips + Kola Menü | 80
bd9 | menuOption | bd9_patates1 | Patates İlave | 10
bd10 | option | bd10_o1 | Dürüm | 0
bd10 | option | bd10_o2 | Gobit Ekmeği | 0
bd10 | option | bd10_o3 | Taş Fırın Ekmeği | 0
bd10 | option | bd10_o4 | Ayvalık Tost Ekmeği | 0
bd10 | menuOption | bd10_menu1 | Cips + Ayran Menü | 60
bd10 | menuOption | bd10_menu2 | Cips + Kola Menü | 80
bd10 | menuOption | bd10_patates1 | Patates İlave | 10
bd11 | potatoOption | bd11_patates1 | Patates (+10₺) | 10
bd12 | potatoOption | bd12_patates1 | Patates (+10₺) | 10
bd13 | potatoOption | bd13_patates1 | Patates (+10₺) | 10
bd14 | potatoOption | bd14_patates1 | Patates (+10₺) | 10
pa1 | option | pa1_o1 | Penne | 0
pa1 | option | pa1_o2 | Spagetti | 0
pa1 | option | pa1_o3 | Fettuccine | 0
pa1 | drinkOption | pa1_drink1 | Ayran | 40
pa1 | drinkOption | pa1_drink2 | Kutu İçecek | 60
pa1 | drinkOption | pa1_drink3 | Litrelik İçecek | 90
pa2 | option | pa2_o1 | Spagetti | 0
pa2 | option | pa2_o2 | Penne | 0
pa2 | option | pa2_o3 | Fettuccine | 0
pa2 | drinkOption | pa2_drink1 | Ayran | 40
pa2 | drinkOption | pa2_drink2 | Kutu İçecek | 60
pa2 | drinkOption | pa2_drink3 | Litrelik İçecek | 90
pa3 | option | pa3_o1 | Penne | 0
pa3 | option | pa3_o2 | Spagetti | 0
pa3 | option | pa3_o3 | Fettuccine | 0
pa3 | drinkOption | pa3_drink1 | Ayran | 40
pa3 | drinkOption | pa3_drink2 | Kutu İçecek | 60
pa3 | drinkOption | pa3_drink3 | Litrelik İçecek | 90
pa4 | option | pa4_o1 | Penne | 0
pa4 | option | pa4_o2 | Spagetti | 0
pa4 | option | pa4_o3 | Fettuccine | 0
pa4 | drinkOption | pa4_drink1 | Ayran | 40
pa4 | drinkOption | pa4_drink2 | Kutu İçecek | 60
pa4 | drinkOption | pa4_drink3 | Litrelik İçecek | 90
pa5 | option | pa5_o1 | Penne | 0
pa5 | option | pa5_o2 | Spagetti | 0
pa5 | option | pa5_o3 | Fettuccine | 0
pa5 | drinkOption | pa5_drink1 | Ayran | 40
pa5 | drinkOption | pa5_drink2 | Kutu İçecek | 60
pa5 | drinkOption | pa5_drink3 | Litrelik İçecek | 90
pa6 | option | pa6_o1 | Penne | 0
pa6 | option | pa6_o2 | Spagetti | 0
pa6 | option | pa6_o3 | Fettuccine | 0
pa6 | drinkOption | pa6_drink1 | Ayran | 40
pa6 | drinkOption | pa6_drink2 | Kutu İçecek | 60
pa6 | drinkOption | pa6_drink3 | Litrelik İçecek | 90
pa7 | option | pa7_o1 | Penne | 0
pa7 | option | pa7_o2 | Spagetti | 0
pa7 | option | pa7_o3 | Fettuccine | 0
pa7 | drinkOption | pa7_drink1 | Ayran | 40
pa7 | drinkOption | pa7_drink2 | Kutu İçecek | 60
pa7 | drinkOption | pa7_drink3 | Litrelik İçecek | 90
ma1 | option | ma1_o1 | Sade Yoğurt | 0
ma1 | option | ma1_o2 | Sarımsaklı Yoğurt | 0
ma1 | drinkOption | ma1_drink1 | Ayran | 40
ma1 | drinkOption | ma1_drink2 | Kutu İçecek | 60
ma1 | drinkOption | ma1_drink3 | Litrelik İçecek | 90
h1 | option | h1_o1 | Sade Hamburger | 0
h1 | option | h1_o2 | Menü (Cips + Kola) | 80
h2 | option | h2_o1 | Sade Cheeseburger | 0
h2 | option | h2_o2 | Menü (Cips + Kola) | 80
h3 | option | h3_o1 | Sade Tavuk Burger | 0
h3 | option | h3_o2 | Menü (Cips + Kola) | 80
k1 | option | k1_o1 | Sade Köfte | 0
k1 | option | k1_o2 | Menü (Cips + Kola) | 80
k2 | option | k2_o1 | Sade Ekmek Arası | 0
k2 | option | k2_o2 | Menü (Cips + Kola) | 80
k3 | option | k3_o1 | Sade Kaşarlı Köfte | 0
k3 | option | k3_o2 | Menü (Cips + Kola) | 80
a3 | option | a3_o1 | Elma Dilim Patates | 0
a3 | option | a3_o2 | Parmak Patates | 0
b1 | drinkOption | b1_drink1 | Kutu İçecek | 60
b2 | drinkOption | b2_drink1 | Kutu İçecek | 60
b3 | drinkOption | b3_drink1 | Kutu İçecek | 60
b4 | drinkOption | b4_drink1 | Kutu İçecek | 60
b5 | drinkOption | b5_drink1 | Kutu İçecek | 60
b6 | drinkOption | b6_drink1 | Kutu İçecek | 60
b7 | drinkOption | b7_drink1 | Kutu İçecek | 60
b8 | drinkOption | b8_drink1 | Kutu İçecek | 60
b10 | drinkOption | b10_drink1 | Kutu İçecek | 60
b11 | drinkOption | b11_drink1 | Kutu İçecek | 60
b12 | drinkOption | b12_drink1 | Kutu İçecek | 60
b13 | drinkOption | b13_drink1 | Kutu İçecek | 60
d2 | option | d2_o1 | Coca Cola | 0
d2 | option | d2_o2 | Coca Cola Zero | 0
d3 | option | d3_o1 | Pepsi | 0
d3 | option | d3_o2 | Pepsi Max | 0
d5 | option | d5_o1 | Sprite | 0
d5 | option | d5_o2 | 7UP | 0
d6 | option | d6_o1 | Şeftali | 0
d6 | option | d6_o2 | Limon | 0
d7 | option | d7_o1 | Coca Cola | 0
d7 | option | d7_o2 | Pepsi | 0
d7 | option | d7_o3 | Fanta | 0
d11 | option | d11_o1 | Normal | 0
d11 | option | d11_o2 | Acılı | 0
